date_start,title,lst_keywords,len_keywords,link,extracted
05.08.2020,Head of Product Development,"django,sql,python",17,https://www.jobs.bg/5389332,true
05.08.2020,Senior Systems Engineer: DevOps,"azure,java,aws,bash,python,go",29,https://www.jobs.bg/5389297,true
05.08.2020,Senior DevOps Engineer,"aws,python,java",15,https://www.jobs.bg/5389237,true
04.08.2020,Senior DevOps Engineer,"r,java,aws,bash,python,go",25,https://www.jobs.bg/5388333,true
04.08.2020,Senior Technical Support Engineer,"azure,r,bash,java,shell,python",30,https://www.jobs.bg/5387047,true
03.08.2020,Senior Linux Engineer,"rdbms,php,c,sql,python",22,https://www.jobs.bg/5386416,true
03.08.2020,DevOps / Automation engineer / Developer,"perl,shell,python",17,https://www.jobs.bg/5386118,true
03.08.2020,Linux DevOps  CI/CD Engineer,"bash,python",11,https://www.jobs.bg/5385542,true
31.07.2020,DevOps ENGINEER FOR AUTOMOTIVE,"bash,python",11,https://www.jobs.bg/5384243,true
31.07.2020,Senior Linux System Administrator,"sql,python,shell",16,https://www.jobs.bg/5384212,true
30.07.2020,Senior DevOps Engineer for End-User Computing,"azure,ruby,python,aws",21,https://www.jobs.bg/5383712,true
30.07.2020,Data Analyst,"excel,sql,python,requests",25,https://www.jobs.bg/5382937,true
30.07.2020,Business Analyst - KYC,python,6,https://www.jobs.bg/5382747,true
29.07.2020,C Software Engineer,"c,c++,go,python",15,https://www.jobs.bg/5381859,true
28.07.2020,DevOps Engineer,"azure,sql,aws,bash,python",25,https://www.jobs.bg/5380489,true
27.07.2020,"Senior Site Reliability Engineer, VMware Carbon Black","splunk,ruby,aws,bash,python,go",30,https://www.jobs.bg/5378910,true
27.07.2020,Senior Infrastructure Automation Engineer,"python,c,java,aws,c++,go",24,https://www.jobs.bg/5378890,true
27.07.2020,Junior C Developer,"c,python,go",11,https://www.jobs.bg/5378065,true
14.08.2020,Python Developer - ETL,"postgresql,airflow,etl,python",29,https://www.jobs.bg/5392580,true
13.08.2020,Remote Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"azure,php,sql,ruby,aws,python",29,https://www.jobs.bg/5397241,true
07.08.2020,C++ / Python Developer,"r,python,c++",12,https://www.jobs.bg/5391906,true
07.08.2020,Python Developer Intern,"django,python,java",18,https://www.jobs.bg/5391424,true
21.08.2020,React Native Developer,"aws,django,sql,python",21,https://www.jobs.bg/5405917,true
20.08.2020,Senior QA Expert,"python,java",11,https://www.jobs.bg/5390379,true
19.08.2020,Senior System Administrator,"perl,sql,python,bash",20,https://www.jobs.bg/5403666,true
18.08.2020,QA ENGINEER,"shell,python",12,https://www.jobs.bg/5403215,true
18.08.2020,QA Automation Engineer,"sql,etl,java,aws,python",23,https://www.jobs.bg/5402299,true
18.08.2020,Automation Test Lead,"c,selenium,python,java",22,https://www.jobs.bg/5401805,true
17.08.2020,Site Reliability Engineer,"azure,splunk,cassandra,java,aws,python",38,https://www.jobs.bg/5400285,true
11.08.2020,Automation QA Engineer,"hive,spark,sql,hbase,bash,python",32,https://www.jobs.bg/5395671,true
11.08.2020,Linux/UNIX Administrator,"perl,bash,python",16,https://www.jobs.bg/5395307,true
10.08.2020,"Системен администратор OSS системи, техническа поддръжка – гр. София","perl,sql,python,shell",21,https://www.jobs.bg/5393756,true
10.08.2020,Site Reliability Team Lead,"azure,splunk,cassandra,java,aws,python",38,https://www.jobs.bg/5389710,true
10.08.2020,Azure / SQL Data Analytics Consultant,"azure,r,hadoop,sql,spark,python",31,https://www.jobs.bg/5392492,true
07.08.2020,DevOps Engineer,"hadoop,spark,python,ruby",24,https://www.jobs.bg/5392203,true
07.08.2020,Research Analyst - Quantitative and Data Processing,"excel,python",12,https://www.jobs.bg/5392051,true
07.08.2020,Research Analyst - Quantitative and Data Processing Internship,"excel,python",12,https://www.jobs.bg/5392046,true
07.08.2020,Mobile Developer Intern,"kotlin,c,python,java",20,https://www.jobs.bg/5391431,true
06.08.2020,C++ Software Developer,"c,c++,python,java",17,https://www.jobs.bg/5390648,true
06.08.2020,Fullstack Developer,"php,erlang,c,django,sql,ruby,javascript,python",46,https://www.jobs.bg/5390414,true
05.08.2020,DevOps Engineer,"bash,python,php",15,https://www.jobs.bg/5389760,true
05.08.2020,Developer  (German Speaker with Linux Configuration Management Experience),"perl,bash,python",16,https://www.jobs.bg/5389514,true
05.08.2020,Senior Software Engineer,"python,php,c,ruby,java,c++",26,https://www.jobs.bg/5389352,true
04.08.2020,Integration Engineer,"c++,python,java",15,https://www.jobs.bg/5387640,true
03.08.2020,QA,"selenium,python,java",20,https://www.jobs.bg/5385637,true
31.07.2020,Linux System Administrator,"perl,sql,python,bash",20,https://www.jobs.bg/5384554,true
30.07.2020,DevOps Engineer,"bash,python",11,https://www.jobs.bg/5382712,true
29.07.2020,Старши специалист Планиране на мрежи за съвременни телеком услуги – гр. София,"excel,python,perl",17,https://www.jobs.bg/5382357,true
28.07.2020,AWS Data Engineer,"hive,scala,pandas,hadoop,sql,spark,java,aws,shell,python",56,https://www.jobs.bg/5381349,true
28.07.2020,AWS Data Engineer,"hive,scala,pandas,hadoop,sql,spark,java,aws,shell,python",56,https://www.jobs.bg/5381343,true
28.07.2020,DevOps Engineer,"bash,shell,python,basic",23,https://www.jobs.bg/5380490,true
27.07.2020,Linux Administrator,"perl,bash,r,python",18,https://www.jobs.bg/5379329,true
24.07.2020,BigData developer,"azure,sql,python",16,https://www.jobs.bg/5377963,true
24.07.2020,MS Azure Data lake Solution Architect,"azure,r,sql,java,python",23,https://www.jobs.bg/5377919,true
24.07.2020,SENIOR GAME DEVELOPER,"php,sql,python,javascript",25,https://www.jobs.bg/5377928,true
24.07.2020,MS Azure Data lake and Database Manager,"azure,r,sql,java,python",23,https://www.jobs.bg/5377907,true
17.08.2020,Python Developer,python,6,https://www.jobs.bg/5400970,true
14.08.2020,Automation Developer with Python,"hive,spark,sql,hbase,bash,python",32,https://www.jobs.bg/5398983,true
14.08.2020,Python Developer,"airflow,django,sql,etl,flask,python",35,https://www.jobs.bg/5392052,true
13.08.2020,Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"azure,php,sql,ruby,aws,python",29,https://www.jobs.bg/5397239,true
13.08.2020,Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"azure,php,sql,ruby,aws,python",29,https://www.jobs.bg/5397238,true
20.08.2020,DevOps & Cloud Engineer,"azure,r,aws,bash,python",23,https://www.jobs.bg/5394836,true
20.08.2020,QA AUTOMATION ENGINEER,"selenium,python,java",20,https://www.jobs.bg/5404546,true
19.08.2020,Data Integrity Analyst (Cargill Cocoa & Chocolate),"azure,scala,rdbms,requests,tableau,hadoop,sql,etl,java,python",61,https://www.jobs.bg/5403694,true
14.08.2020,"Програмист, извличане на данни","airflow,c,django,sql,etl,flask,python",37,https://www.jobs.bg/5391938,true
14.08.2020,"Програмист, управление на бази данни","airflow,c,django,sql,etl,flask,python",37,https://www.jobs.bg/5391937,true
14.08.2020,Machine Learning Engineer,"excel,python,ml,java",20,https://www.jobs.bg/5398575,true
13.08.2020,Security Incident Coordinator,"sas,sql,basic,bash,python",25,https://www.jobs.bg/5397748,true
